epoch,crf_viterbi_accuracy,loss,val_crf_viterbi_accuracy,val_loss
0,0.8946677570073109,0.32847356616326095,0.9878408312797546,0.07270025613449388
1,0.9831008994354392,0.0955223098678409,0.9878408312797546,0.06886425841662844
2,0.9831009023594406,0.08780495659360346,0.9878408312797546,0.06521823888613006
3,0.9831009001102088,0.07804777038125497,0.9878408312797546,0.06387489718400825
4,0.9831829374691226,0.06313235415321476,0.9885777346158432,0.038125126101708005
5,0.9871205923692236,0.04340702641122746,0.9945959287174677,0.025301581027649216
6,0.9897730375235936,0.031149519705828632,0.9950871841382172,0.017388738344533968
7,0.9906890869140625,0.02436746033611444,0.9948415483458567,0.014510305724659209
8,0.9922477416272434,0.020052931164962432,0.996315388356225,0.012343517567772987
9,0.993751704018071,0.016661376804816275,0.9961925936957537,0.01056641693842613
